Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
119,LBN,Lebanon,Beirut,Asia,5489739.00,5662923.00,6398940.00,4995800.00,4320642.00,3593700.00,2963702.00,2381791.00,10452.00,525.23,0.98,0.07
147,LSO,Lesotho,Maseru,Africa,2305825.00,2254100.00,2118521.00,2022747.00,1998630.00,1798997.00,1407672.00,1023481.00,30355.00,75.96,1.01,0.03
121,LBR,Liberia,Monrovia,Africa,5302681.00,5087584.00,4612329.00,4019956.00,2895224.00,2209731.00,1932169.00,1463563.00,111369.00,47.61,1.02,0.07
107,LBY,Libya,Tripoli,Africa,6812341.00,6653942.00,6192235.00,6491988.00,5154790.00,4236983.00,2962720.00,1909177.00,1759540.00,3.87,1.01,0.09
216,LIE,Liechtenstein,Vaduz,Europe,39327.00,38756.00,37355.00,35926.00,33026.00,28765.00,25003.00,21089.00,160.00,245.79,1.01,0.00
141,LTU,Lithuania,Vilnius,Europe,2750055.00,2820267.00,2963765.00,3139019.00,3599637.00,3785847.00,3521206.00,3210147.00,65300.00,42.11,0.99,0.03
168,LUX,Luxembourg,Luxembourg,Europe,647599.00,630399.00,569408.00,507070.00,435628.00,381267.00,363741.00,339342.00,2586.00,250.43,1.01,0.01
167,MAC,Macau,Concelho de Macau,Asia,695168.00,676283.00,615239.00,557297.00,431896.00,350227.00,245332.00,247284.00,30.00,23172.27,1.01,0.01
50,MDG,Madagascar,Antananarivo,Africa,29611714.00,28225177.00,24850912.00,21731053.00,16216431.00,11882762.00,8948162.00,6639751.00,587041.00,50.44,1.02,0.37
62,MWI,Malawi,Lilongwe,Africa,20405317.00,19377061.00,16938942.00,14718422.00,11229387.00,9539665.00,6267369.00,4625141.00,118484.00,172.22,1.03,0.26
45,MYS,Malaysia,Kuala Lumpur,Asia,33938221.00,33199993.00,31068833.00,,,17517054.00,13215707.00,10306508.00,330803.00,102.59,1.01,0.43
174,MDV,Maldives,Malé,Asia,523787.00,514438.00,435582.00,,,224957.00,164887.00,123243.00,300.00,1745.96,1.00,0.01
59,MLI,Mali,Bamako,Africa,22593590.00,21224040.00,18112907.00,15529181.00,11239101.00,8945026.00,7372581.00,6153587.00,1240192.00,18.22,1.03,0.28
173,MLT,Malta,Valletta,Europe,533286.00,515357.00,456579.00,418755.00,399212.00,365392.00,333587.00,315414.00,316.00,1687.61,1.01,0.01
215,MHL,Marshall Islands,Majuro,Oceania,41569.00,43413.00,49410.00,53416.00,54224.00,46047.00,31988.00,23969.00,181.00,229.66,0.99,0.00
180,MTQ,Martinique,Fort-de-France,North America,367507.00,370391.00,383515.00,392181.00,432543.00,374271.00,333786.00,326428.00,1128.00,325.80,1.00,0.00
126,MRT,Mauritania,Nouakchott,Africa,4736139.00,4498604.00,3946220.00,3419461.00,2695003.00,2006027.00,1506694.00,1122198.00,1030700.00,4.60,1.03,0.06
157,MUS,Mauritius,Port Louis,Africa,1299469.00,1297828.00,1293153.00,1283330.00,1215930.00,1090290.00,954865.00,830115.00,2040.00,636.99,1.00,0.02
182,MYT,Mayotte,Mamoudzou,Africa,326101.00,305587.00,249545.00,211786.00,159215.00,92659.00,52233.00,35383.00,374.00,871.93,1.03,0.00
10,MEX,Mexico,Mexico City,North America,127504125.00,125998302.00,120149897.00,112532401.00,97873442.00,81720428.00,67705186.00,50289306.00,1964375.00,64.91,1.01,1.60
194,FSM,Micronesia,Palikir,Oceania,114164.00,112106.00,109462.00,107588.00,111709.00,98603.00,76299.00,58989.00,702.00,162.63,1.01,0.00
135,MDA,Moldova,Chisinau,Europe,3272996.00,3084847.00,3277388.00,3678186.00,4251573.00,4480199.00,4103240.00,3711140.00,33846.00,96.70,1.07,0.04
217,MCO,Monaco,Monaco,Europe,36469.00,36922.00,36760.00,33178.00,32465.00,30329.00,27076.00,24270.00,2.00,18234.50,0.99,0.00
134,MNG,Mongolia,Ulaanbaatar,Asia,3398366.00,3294335.00,2964749.00,2702520.00,2450979.00,2161433.00,1697780.00,1293880.00,1564110.00,2.17,1.02,0.04
169,MNE,Montenegro,Podgorica,Europe,627082.00,629048.00,633966.00,631044.00,633324.00,621442.00,589324.00,530268.00,13812.00,45.40,1.00,0.01
230,MSR,Montserrat,Brades,North America,4390.00,4500.00,5059.00,4938.00,5138.00,10805.00,11452.00,11402.00,102.00,43.04,0.99,0.00
40,MAR,Morocco,Rabat,Africa,37457971.00,36688772.00,34680458.00,32464865.00,28554415.00,24570814.00,19678444.00,15274351.00,446550.00,83.88,1.01,0.47
48,MOZ,Mozambique,Maputo,Africa,32969517.00,31178239.00,,,17768505.00,13303459.00,11413587.00,8411676.00,801590.00,41.13,1.03,0.41
26,MMR,Myanmar,Nay Pyi Taw,Asia,54179306.00,53423198.00,51483949.00,49390988.00,45538332.00,40099553.00,33465781.00,27284112.00,676578.00,80.08,1.01,0.68
145,NAM,Namibia,Windhoek,Africa,2567012.00,2489098.00,2282704.00,2099271.00,1819141.00,1369011.00,975994.00,754467.00,825615.00,3.11,1.01,0.03
225,NRU,Nauru,Yaren,Oceania,12668.00,12315.00,11185.00,10241.00,10377.00,9598.00,7635.00,6663.00,21.00,603.24,1.01,0.00
49,NPL,Nepal,Kathmandu,Asia,30547580.00,29348627.00,27610325.00,27161567.00,24559500.00,19616530.00,15600442.00,12501285.00,147181.00,207.55,1.02,0.38
71,NLD,Netherlands,Amsterdam,Europe,17564014.00,17434557.00,17041107.00,16617116.00,15899135.00,14944548.00,14130387.00,13037686.00,41850.00,419.69,1.00,0.22
185,NCL,New Caledonia,Nouméa,Oceania,289950.00,286403.00,283032.00,261426.00,221537.00,177264.00,148599.00,110982.00,18575.00,15.61,1.01,0.00
123,NZL,New Zealand,Wellington,Oceania,5185288.00,5061133.00,4590590.00,4346338.00,3855266.00,3397389.00,3147168.00,2824061.00,270467.00,19.17,1.01,0.07
106,NIC,Nicaragua,Managua,North America,6948392.00,6755895.00,6298598.00,5855734.00,5123222.00,4227820.00,3303309.00,2444767.00,130373.00,53.30,1.01,0.09
54,NER,Niger,Niamey,Africa,26207977.00,24333639.00,20128124.00,16647543.00,11622665.00,8370647.00,6173177.00,4669708.00,1267000.00,20.69,1.04,0.33
6,NGA,Nigeria,Abuja,Africa,218541212.00,208327405.00,183995785.00,160952853.00,122851984.00,95214257.00,72951439.00,55569264.00,923768.00,236.58,1.02,2.74
232,NIU,Niue,Alofi,Oceania,1934.00,1942.00,1847.00,1812.00,2074.00,2533.00,3637.00,5185.00,260.00,7.44,1.00,0.00
56,PRK,North Korea,Pyongyang,Asia,26069416.00,25867467.00,25258015.00,24686435.00,23367059.00,20799523.00,17973650.00,14996879.00,120538.00,216.28,1.00,0.33
150,MKD,North Macedonia,Skopje,Europe,2093599.00,2111072.00,2107962.00,2093828.00,2037936.00,2044174.00,1907023.00,1656783.00,25713.00,81.42,1.00,0.03
210,NFK,Northern Mariana Islands,Saipan,Oceania,49551.00,49587.00,51514.00,54087.00,80338.00,48002.00,17613.00,10143.00,464.00,106.79,1.00,0.00
120,NOR,Norway,Oslo,Europe,,5379839.00,,4889741.00,4491202.00,4241636.00,4085776.00,3875546.00,323802.00,16.78,1.01,0.07
127,OMN,Oman,Muscat,Asia,4576298.00,4543399.00,4191776.00,2881914.00,2344253.00,1804524.00,1017462.00,670693.00,309500.00,14.79,1.01,0.06
5,PAK,Pakistan,Islamabad,Asia,235824862.00,227196741.00,210969298.00,194454498.00,154369924.00,115414069.00,80624057.00,59290872.00,881912.00,267.40,1.02,2.96
222,PLW,Palau,Ngerulmud,Oceania,,17972.00,17794.00,18540.00,19726.00,15293.00,12252.00,11366.00,459.00,39.34,1.00,0.00
122,PSE,Palestine,Ramallah,Asia,5250072.00,5019401.00,4484614.00,3992278.00,3139954.00,2124609.00,1453620.00,1118241.00,6220.00,844.06,1.02,0.07
